Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

00:24:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:25:23        all      9.99      0.00      1.05      0.22      0.00     88.74
00:26:23        all      7.17      0.00      0.63      0.13      0.00     92.06
00:27:23        all      3.65      0.00      0.42      0.17      0.00     95.77
00:28:23        all      3.10      0.00      0.29      0.10      0.00     96.51
00:29:23        all      3.14      0.00      0.28      0.04      0.00     96.54
00:30:23        all      7.49      0.00      1.64      0.09      0.00     90.78
00:31:23        all     10.01      0.00      0.77      0.62      0.00     88.61
00:32:23        all      5.74      0.00      0.50      0.21      0.00     93.55
00:33:23        all      4.78      0.00      0.16      0.00      0.00     95.05
00:34:23        all      4.75      0.00      0.19      0.01      0.00     95.05
00:35:23        all      4.04      0.00      0.27      0.08      0.00     95.61
00:36:23        all      3.01      0.00      0.36      0.02      0.00     96.62
00:37:23        all      3.11      0.00      0.22      0.04      0.00     96.63
