Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

00:37:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:38:49        all      2.93      0.00      0.46      0.00      0.00     96.60
00:39:49        all      3.17      0.00      0.23      0.01      0.00     96.59
00:40:49        all      2.92      0.00      0.53      0.02      0.00     96.53
00:41:49        all      3.16      0.00      0.25      0.00      0.00     96.59
00:42:49        all      3.03      0.00      0.39      0.00      0.00     96.59
00:43:49        all      3.11      0.00      0.30      0.00      0.00     96.58
00:44:49        all      3.16      0.00      0.22      0.00      0.00     96.61
00:45:49        all      3.11      0.00      0.29      0.00      0.00     96.60
00:46:49        all      2.96      0.00      0.44      0.00      0.00     96.60
00:47:49        all      3.21      0.00      0.19      0.00      0.00     96.60
00:48:49        all      2.93      0.00      0.48      0.00      0.00     96.59
00:49:49        all      3.16      0.00      0.23      0.00      0.00     96.61
00:50:49        all      2.80      0.00      0.62      0.00      0.00     96.58
