ctime,relname,pid,mode,granted
1415235088.15545,customer,26527,AccessShareLock,t
1415235088.15545,customer,26424,AccessShareLock,t
1415235088.15545,customer,26519,AccessShareLock,t
1415235088.15545,customer_c_mktsegment_c_custkey_idx,26424,AccessShareLock,t
1415235088.15545,customer_c_nationkey_c_custkey_idx,26424,AccessShareLock,t
1415235088.15545,customer_c_phone_idx,26424,AccessShareLock,t
1415235088.15545,customer_c_phone_idx_c_acctbal,26424,AccessShareLock,t
1415235088.15545,lineitem,26508,AccessShareLock,t
1415235088.15545,lineitem,26499,AccessShareLock,t
1415235088.15545,lineitem,26519,AccessShareLock,t
1415235088.15545,lineitem,26529,AccessShareLock,t
1415235088.15545,lineitem,26424,AccessShareLock,t
1415235088.15545,lineitem,26482,AccessShareLock,t
1415235088.15545,lineitem,26527,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx,26424,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx,26508,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx,26499,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx,26482,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_l_returnflag,26499,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_l_returnflag,26508,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_l_returnflag,26482,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_l_returnflag,26424,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part1,26424,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part1,26508,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part1,26482,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part1,26499,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part2,26508,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part2,26482,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part2,26499,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_idx_part2,26424,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,26508,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,26424,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,26482,AccessShareLock,t
1415235088.15545,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,26499,AccessShareLock,t
1415235088.15545,lineitem_l_partkey_l_quantity_l_shipmode_idx,26499,AccessShareLock,t
1415235088.15545,lineitem_l_partkey_l_quantity_l_shipmode_idx,26508,AccessShareLock,t
1415235088.15545,lineitem_l_partkey_l_quantity_l_shipmode_idx,26482,AccessShareLock,t
1415235088.15545,lineitem_l_partkey_l_quantity_l_shipmode_idx,26424,AccessShareLock,t
1415235088.15545,lineitem_l_shipdate_l_suppkey__idx,26508,AccessShareLock,t
1415235088.15545,lineitem_l_shipdate_l_suppkey__idx,26499,AccessShareLock,t
1415235088.15545,lineitem_l_shipdate_l_suppkey__idx,26482,AccessShareLock,t
1415235088.15545,lineitem_l_shipdate_l_suppkey__idx,26424,AccessShareLock,t
1415235088.15545,nation,26499,AccessShareLock,t
1415235088.15545,nation,26508,AccessShareLock,t
1415235088.15545,orders,26508,AccessShareLock,t
1415235088.15545,orders,26527,AccessShareLock,t
1415235088.15545,orders,26499,AccessShareLock,t
1415235088.15545,orders,26424,AccessShareLock,t
1415235088.15545,orders,26519,AccessShareLock,t
1415235088.15545,orders_o_orderdate_o_orderkey_idx,26424,AccessShareLock,t
1415235088.15545,orders_o_orderdate_o_orderkey_idx,26499,AccessShareLock,t
1415235088.15545,orders_o_orderkey_o_orderdate_idx,26424,AccessShareLock,t
1415235088.15545,orders_o_orderkey_o_orderdate_idx,26499,AccessShareLock,t
1415235088.15545,part,26499,AccessShareLock,t
1415235088.15545,part_p_container_p_brand_p_partkey_idx,26499,AccessShareLock,t
1415235088.15545,part_p_name_idx,26499,AccessShareLock,t
1415235088.15545,part_p_size_idx,26499,AccessShareLock,t
1415235088.15545,part_p_type_p_partkey_idx,26499,AccessShareLock,t
1415235088.15545,partsupp,26499,AccessShareLock,t
1415235088.15545,partsupp_ps_suppkey_idx,26499,AccessShareLock,t
1415235088.15545,pg_locks,26517,AccessShareLock,t
1415235088.15545,pg_stat_activity,26526,AccessShareLock,t
1415235088.15545,pg_stat_all_indexes,26521,AccessShareLock,t
1415235088.15545,pg_stat_all_tables,26520,AccessShareLock,t
1415235088.15545,pg_stat_database,26524,AccessShareLock,t
1415235088.15545,pg_statio_all_indexes,26521,AccessShareLock,t
1415235088.15545,pg_statio_all_tables,26520,AccessShareLock,t
1415235088.15545,pk_customer,26424,AccessShareLock,t
1415235088.15545,pk_lineitem,26424,AccessShareLock,t
1415235088.15545,pk_lineitem,26499,AccessShareLock,t
1415235088.15545,pk_lineitem,26482,AccessShareLock,t
1415235088.15545,pk_lineitem,26508,AccessShareLock,t
1415235088.15545,pk_nation,26499,AccessShareLock,t
1415235088.15545,pk_orders,26499,AccessShareLock,t
1415235088.15545,pk_orders,26424,AccessShareLock,t
1415235088.15545,pk_part,26499,AccessShareLock,t
1415235088.15545,pk_partsupp,26499,AccessShareLock,t
1415235088.15545,pk_supplier,26482,AccessShareLock,t
1415235088.15545,pk_supplier,26499,AccessShareLock,t
1415235088.15545,pk_supplier,26508,AccessShareLock,t
1415235088.15545,supplier,26499,AccessShareLock,t
1415235088.15545,supplier,26508,AccessShareLock,t
1415235088.15545,supplier,26482,AccessShareLock,t
1415235088.15545,supplier_s_nationkey_s_suppkey_idx,26499,AccessShareLock,t
1415235088.15545,supplier_s_nationkey_s_suppkey_idx,26482,AccessShareLock,t
1415235088.15545,supplier_s_nationkey_s_suppkey_idx,26508,AccessShareLock,t
1415235088.15545,supplier_s_suppkey_idx_like,26499,AccessShareLock,t
1415235088.15545,supplier_s_suppkey_idx_like,26482,AccessShareLock,t
1415235088.15545,supplier_s_suppkey_idx_like,26508,AccessShareLock,t
1415235148.15744,customer,28659,AccessShareLock,t
1415235148.15744,customer,28797,AccessShareLock,t
1415235148.15744,customer,28716,AccessShareLock,t
1415235148.15744,customer,28529,AccessShareLock,t
1415235148.15744,customer,28726,AccessShareLock,t
1415235148.15744,customer,28777,AccessShareLock,t
1415235148.15744,customer,28818,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28797,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28659,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28726,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28777,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28818,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28529,AccessShareLock,t
1415235148.15744,customer_c_mktsegment_c_custkey_idx,28716,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28529,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28777,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28818,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28726,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28659,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28797,AccessShareLock,t
1415235148.15744,customer_c_nationkey_c_custkey_idx,28716,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28777,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28529,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28716,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28797,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28818,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28659,AccessShareLock,t
1415235148.15744,customer_c_phone_idx,28726,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28777,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28726,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28659,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28797,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28716,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28529,AccessShareLock,t
1415235148.15744,customer_c_phone_idx_c_acctbal,28818,AccessShareLock,t
1415235148.15744,lineitem,28716,AccessShareLock,t
1415235148.15744,lineitem,28529,AccessShareLock,t
1415235148.15744,lineitem,28606,AccessShareLock,t
